,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,RATINGS,,,,,,,,,,,
Word,Category,trait_mean,state_mean,visc_mean,intensity_mean,valence_mean,,trait_z,state_z,diff,visc_z,intensity_z,valence_z
ashamed ,state,2.00,4.11,2.473684,3.388889,1.631579,,-1.25,0.75,-2.00,-0.20,0.23,-1.06
astonished ,state,2.00,4.37,3,4,3.263158,,-1.25,1.25,-2.50,0.62,1.34,0.52
awestruck ,state,2.11,4.21,3,4.368421,4.210526,,-1.25,1,-2.25,0.62,2.01,1.44
bewildered ,state,2.37,4.21,2.947368,3.444444,2.421053,,-0.75,1,-1.75,0.54,0.33,-0.30
bored ,state,2.16,4.21,2.578947,2.45,2.157895,,-1.00,1,-2.00,-0.03,-1.48,-0.55
confused ,state,2.74,4.58,2.210526,2.611111,2.210526,,-0.50,1.5,-2.00,-0.61,-1.19,-0.50
dazzled ,state,2.17,3.89,2.631579,3.833333,3.789474,,-1.00,0.5,-1.50,0.05,1.03,1.03
delighted ,state,2.22,4.42,2.526316,3.555556,4.315789,,-1.00,1.25,-2.25,-0.12,0.53,1.55
disappointed ,state,2.00,4.47,2.052632,3.277778,2,,-1.25,1.25,-2.50,-0.85,0.02,-0.71
discouraged ,state,2.39,4.05,2.421053,3.157895,1.736842,,-0.75,0.75,-1.50,-0.28,-0.19,-0.96
disgusted ,state,2.06,4.37,2.842105,3.526316,1.526316,,-1.25,1.25,-2.50,0.37,0.48,-1.17
displeased ,state,2.00,4.16,2.315789,2.722222,2,,-1.25,0.75,-2.00,-0.44,-0.99,-0.71
distracted ,state,2.33,4.05,2.473684,2.555556,2.263158,,-1.00,0.75,-1.75,-0.20,-1.29,-0.45
drowsy ,state,1.83,3.68,4,2.368421,2.315789,,-1.50,0,-1.50,2.17,-1.63,-0.40
embarassed ,state,2.11,4.58,3.157895,2.944444,1.947368,,-1.25,1.5,-2.75,0.86,-0.58,-0.76
entranced ,state,1.95,3.95,3.105263,3.631579,3.578947,,-1.25,0.5,-1.75,0.78,0.67,0.83
excited ,state,2.84,4.63,3.315789,3.421053,4.157895,,-0.25,1.5,-1.75,1.11,0.28,1.39
exhilarated ,state,2.28,4.05,3.631579,4.631579,4.368421,,-1.00,0.75,-1.75,1.60,2.49,1.60
fascinated ,state,2.63,4.42,2.263158,4.055556,4.210526,,-0.50,1.25,-1.75,-0.52,1.44,1.44
flustered ,state,2.26,4.26,3.210526,3.631579,2.210526,,-1.00,1,-2.00,0.94,0.67,-0.50
humiliated ,state,1.83,4.58,2.736842,3.947368,1.684211,,-1.50,1.5,-3.00,0.21,1.24,-1.01
hungry ,state,1.84,4.05,4.736842,2.684211,2.789474,,-1.50,0.75,-2.25,3.31,-1.06,0.06
hurt ,state,1.67,3.68,3.526316,2.947368,1.736842,,-1.50,0,-1.50,1.43,-0.58,-0.96
